CalcDate,Code,prev_close,open_price,high_price,low_price,volume,close_price,amount,vwap,turnover
2022-03-01,689009.SH,57.05,57.74,58.2,57.2,1017832.0,57.97,58946206.0,57.91349259995756,0.002297616010068777
2022-03-02,689009.SH,57.97,57.6,57.98,56.86,519105.0,57.02,29654347.0,57.12591286926537,0.0011718082737689054
2022-03-03,689009.SH,57.02,57.03,57.39,55.6,835262.0000000001,55.66,47136513.0,56.43320658667579,0.0018854892986289165
2022-03-04,689009.SH,55.66,55.01,55.55,54.3,1323586.0,54.75,72764194.0,54.97504053382251,0.0029878136905726015
2022-03-07,689009.SH,54.75,54.01,55.26,50.0,3473583.9999999995,54.5,180340904.0,51.91781859888807,0.00784113901971911
2022-03-08,689009.SH,54.5,53.1,53.35,50.58,2475914.0,51.19,127511851.0,51.500920872049676,0.005589035956772264
2022-03-09,689009.SH,51.19,51.5,51.57,49.0,1906562.0,49.58,95791540.0,50.24307628076087,0.004303801978507994
2022-03-10,689009.SH,49.58,50.9,51.02,48.3,2977516.0,48.99,147264582.0,49.458871757532116,0.006721333610886615
2022-03-11,689009.SH,48.99,48.29,48.35,45.67,2487772.0,46.75,115487022.0,46.42186743801281,0.005615803763883256
2022-03-14,689009.SH,46.75,46.15,46.15,43.82,2216046.0,43.83,99425909.0,44.86635611354638,0.005002419621950256
2022-03-15,689009.SH,43.83,43.83,44.0,40.08,4608421.0,40.88,191874986.0,41.63573293325415,0.010402877754616837
2022-03-16,689009.SH,40.88,41.35,42.96,40.1,1741727.0,42.03,72455677.0,41.59990457746822,0.00393170959487328
2022-03-17,689009.SH,42.03,42.94,43.76,42.03,2240510.0,43.62,96515049.0,43.07726767566313,0.005057643743485365
2022-03-18,689009.SH,43.62,43.11,43.98,42.7,1253098.0,43.7,54444595.0,43.44799449045485,0.0028286967073005804
2022-03-21,689009.SH,43.7,44.19,46.76,43.71,1595576.0,46.06,72376987.0,45.36104015101756,0.0036017937762631742
2022-03-22,689009.SH,46.06,46.0,46.3,44.79,1591881.0,46.3,72509162.0,45.54936078764681,0.0035934528210198684
2022-03-23,689009.SH,46.3,46.2,46.58,45.83,1135561.0,46.21,52581224.0,46.30418269031782,0.0025633730655056147
2022-03-24,689009.SH,46.21,45.1,46.43,45.1,1195898.0,46.05,54954376.0,45.95239393326187,0.002699575559826406
2022-03-25,689009.SH,46.05,45.99,46.44,45.17,856429.0000000001,45.23,39270985.0,45.85433818798756,0.0019332708952825154
2022-03-28,689009.SH,45.23,44.8,45.5,43.73,685863.0,45.0,30769964.0,44.86313447437754,0.0014095003152732577
2022-03-29,689009.SH,45.0,44.16,45.83,44.16,810806.0,45.11,36533299.0,45.058002777483146,0.001666267625787437
2022-03-30,689009.SH,45.11,45.11,45.43,43.8,1292791.0,44.1,57124386.0,44.18686856576198,0.0026567832381720986
2022-03-31,689009.SH,44.1,44.17,44.47,43.38,413741.0,43.79,18122628.0,43.80186638500898,0.00081303587451306
2022-04-01,689009.SH,43.79,43.79,44.15,42.71,998429.9999999999,43.39,43183134.0,43.25103812986389,0.0019619989514939886
2022-04-06,689009.SH,43.39,43.08,43.39,42.12,766571.0,42.79,32716331.0,42.67880078948982,0.0015063765093654025
2022-04-07,689009.SH,42.79,42.56,43.28,41.27,725850.0,41.96,30610672.0,42.1721733140456,0.0014263563183617397
2022-04-08,689009.SH,41.96,41.98,42.65,40.73,488138.0,42.08,20366719.0,41.72328112132225,0.0009592322387992877
2022-04-11,689009.SH,42.08,42.0,42.55,40.05,743962.0,41.0,30355485.0,40.8024670614897,0.0014619479221892081
2022-04-12,689009.SH,41.0,41.29,41.45,40.69,522712.0,41.11,21448222.0,41.0325800823398,0.001027173057633811
2022-04-13,689009.SH,41.11,41.3,41.3,39.4,757696.0,40.23,30228065.0,39.894713711039785,0.001488936387679847
2022-04-14,689009.SH,40.23,40.25,40.5,39.23,972187.9999999999,40.44,38845072.0,39.95633766308575,0.001910431213660485
2022-04-15,689009.SH,40.44,40.38,40.38,38.65,889076.0,40.2,35134176.0,39.51762953898204,0.0017471091411500753
2022-04-18,689009.SH,40.2,40.01,40.8,39.21,552730.0,40.3,22191591.0,40.149061928970745,0.001086160953155727
