factor,mean,min,max,std
Factor level0/behavior/liquidity/turn_cv12m,3420.721649,1892,5342,1026.320811
Factor level0/behavior/liquidity/turn_unexpected,3384.879234,1916,5352,1085.769701
Factor level0/money_flow/trading/flow_exlarge,3387.072165,1922,5172,1021.627923
Factor level0/behavior/correlation/beta_6m,3436.228277,1923,5354,1043.078065
Factor level0/behavior/liquidity/amt_cv6m,3436.228277,1923,5354,1043.078065
Factor level0/behavior/liquidity/illiq_6m,3436.228277,1923,5354,1043.078065
Factor level0/behavior/liquidity/turn_6m,3436.228277,1923,5354,1043.078065
Factor level0/behavior/liquidity/turn_cv6m,3436.228277,1923,5354,1043.078065
Factor level0/fundamental/earning/expense_sales_zscore,3393.773196,1936,5209,1017.516542
Factor level0/behavior/correlation/beta_3m,3426.337261,1939,5359,1064.416209
Factor level0/behavior/liquidity/amt_cv3m,3426.337261,1939,5359,1064.416209
Factor level0/behavior/liquidity/illiq_3m,3426.337261,1939,5359,1064.416209
Factor level0/behavior/liquidity/turn_3m,3426.337261,1939,5359,1064.416209
Factor level0/behavior/liquidity/turn_cv3m,3426.337261,1939,5359,1064.416209
Factor level0/behavior/momentum/skew_slicevol1m,3404.216495,1940,5361,1087.650874
Factor level0/behavior/correlation/beta_1m,3409.974963,1942,5362,1084.904231
Factor level0/behavior/liquidity/amt_cv1m,3409.974963,1942,5362,1084.904231
Factor level0/behavior/liquidity/illiq_1m,3409.974963,1942,5362,1084.904231
Factor level0/behavior/liquidity/turn_1m,3409.974963,1942,5362,1084.904231
Factor level0/behavior/liquidity/turn_cv1m,3409.974963,1942,5362,1084.904231
Factor level0/behavior/correlation/beta_slicevol1m,3412.092784,1942,5362,1084.421564
Factor level0/behavior/correlation/corr_slicevol1m,3412.092784,1942,5362,1084.421564
Factor level0/fundamental/earning/expense_sales_qtr,3404.600884,1943,5217,1017.086165
Factor level0/behavior/correlation/beta_2m,3419.628866,1943,5363,1073.664926
Factor level0/behavior/liquidity/amt_cv2m,3419.628866,1943,5363,1073.664926
Factor level0/behavior/liquidity/illiq_2m,3419.628866,1943,5363,1073.664926
Factor level0/behavior/liquidity/turn_2m,3419.628866,1943,5363,1073.664926
Factor level0/behavior/liquidity/turn_cv2m,3419.628866,1943,5363,1073.664926
Factor level0/behavior/volatility/price_weiskew1m,3421.606775,1944,5363,1079.912249
Factor level0/behavior/correlation/turnvp_corr1m,3425.521355,1949,5363,1078.277314
Factor level0/behavior/volatility/ret_std1m,3425.522828,1949,5363,1078.277547
Factor level0/money_flow/trading/flow_medium,3390.125184,1952,5172,1017.704443
Factor level0/money_flow/trading/flow_small,3390.126657,1952,5172,1017.702534
Factor level0/money_flow/trading/flow_large,3390.12813,1952,5172,1017.70122
Factor level0/money_flow/trading/flow_elsm,3390.135493,1952,5172,1017.691483
Factor level0/fundamental/earning/cfo_sales_zscore,3433.533137,1952,5343,1010.490806
Factor level0/behavior/momentum/mom_mdr1m,3428.942563,1954,5363,1077.088054
Factor level0/behavior/volatility/price_weiskew2m,3444.955817,1954,5366,1064.736142
Factor level0/behavior/correlation/turnvp_corr2m,3447.792342,1957,5366,1063.802732
Factor level0/behavior/volatility/ret_std2m,3447.793814,1957,5366,1063.802943
Factor level0/behavior/volatility/price_weiskew3m,3461.970545,1959,5366,1053.761752
Factor level0/behavior/momentum/mom_mdr2m,3450.639175,1962,5366,1062.971485
Factor level0/behavior/correlation/turnvp_corr3m,3464.396171,1963,5366,1053.121631
Factor level0/behavior/volatility/ret_std3m,3464.397644,1963,5366,1053.121821
Factor level0/behavior/volatility/price_weiskew6m,3484.83947,1966,5366,1040.91978
Factor level0/behavior/correlation/turnvp_corr6m,3486.298969,1966,5366,1040.935223
Factor level0/behavior/volatility/ret_std6m,3486.300442,1966,5366,1040.935385
Factor level0/behavior/momentum/mom_mdr3m,3466.833579,1967,5366,1052.615392
Factor level0/behavior/volatility/ff_reskurt_1m,3215.477172,1968,5360,1030.682012
Factor level0/fundamental/earning/expense_sales_ttm,3416.296024,1969,5229,1013.998522
Factor level0/behavior/momentum/mom_mdr6m,3487.759941,1970,5366,1041.060802
Factor level0/behavior/volatility/ff_resskew_1m,3219.20324,1971,5362,1028.979543
Factor level0/fundamental/earning/cfo_cf_qtr,3456.864507,1971,5271,1018.226198
Factor level0/behavior/volatility/ff_resvol_1m,3223.751105,1973,5363,1027.168663
Factor level0/money_flow/trading/flow_corr_smlag,3402.980854,1975,5115,1021.493808
Factor level0/fundamental/value/stop_stability,3484.02651,1975,5363,1033.866706
Factor level0/fundamental/value/btop_stability,3484.393225,1975,5363,1034.025782
Factor level0/fundamental/value/cfev_stability,3483.499264,1976,5360,1032.38622
Factor level0/fundamental/value/etop_stability,3484.328424,1976,5363,1033.896045
Factor level0/behavior/volatility/ff_reskurt_2m,3233.9838,1977,5361,1019.065068
Factor level0/behavior/volatility/price_weiskew12m,3491.782032,1979,5366,1037.608695
Factor level0/behavior/correlation/turnvp_corr12m,3492.918999,1979,5366,1037.771596
Factor level0/behavior/volatility/ret_std12m,3492.920471,1979,5366,1037.771752
Factor level0/high_frequency/hf_momentum/inday_conf_persist,3396.974963,1980,5114,1024.573734
Factor level0/high_frequency/hf_momentum/inday_regain_conf_persist,3396.974963,1980,5114,1024.573734
Factor level0/behavior/volatility/ff_resskew_2m,3238.0162,1981,5363,1018.181047
Factor level0/behavior/correlation/ff_r2_1m,3228.134021,1982,5363,1023.805914
Factor level0/behavior/momentum/ff_alpha_1m,3228.134021,1982,5363,1023.805914
Factor level0/behavior/momentum/ff_mom_1m,3228.134021,1982,5363,1023.805914
Factor level0/behavior/volatility/ff_resvol_2m,3242.341679,1982,5363,1017.105845
Factor level0/behavior/volatility/ff_reskurt_3m,3252.558174,1982,5361,1012.357947
Factor level0/high_frequency/hf_volatility/vardown_intra5min,3400.519882,1982,5115,1022.989143
