ts_code,trade_date,close,turnover_rate,turnover_rate_f,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,udlimit_status
920002.BJ,20250818,131.6,9.1583,13.9293,104.0117,96.8285,8.6672,17.3217,17.1809,4550.2968,3185.7967,2094.6064,598819.0589,419250.8457,0
002164.SZ,20250818,11.45,8.1523,12.8847,132.7118,111.9137,4.3863,4.1687,4.0918,53217.3689,47977.5218,30355.8761,609338.8739,549342.6246,1
301077.SZ,20250818,23.26,4.8795,8.1108,26.7139,26.1724,3.5256,4.9925,4.9764,17007.8941,9540.2629,5739.518,395603.6168,221906.5151,0
300248.SZ,20250818,15.25,6.6089,6.9201,65.9136,73.7187,3.472,7.3809,7.5855,47634.8393,40915.4359,39074.9689,726431.2993,623960.3975,0
605298.SH,20250818,23.02,6.8456,24.8311,111.2924,89.6756,4.3303,8.9523,8.8483,18785.0,18465.2,5090.6339,432430.7,425068.904,0
603948.SH,20250818,21.2,1.7289,6.3359,16.4776,17.2382,1.7459,1.4388,1.4705,16248.9167,16248.9167,4433.9197,344477.034,344477.034,0
002796.SZ,20250818,13.73,6.2862,9.1722,37.6215,42.3244,3.9331,3.6121,3.6864,25242.6948,22654.6483,15526.4761,346582.1996,311048.3212,0
600655.SH,20250818,5.8,0.2527,0.5451,180.4456,,0.6504,0.4817,0.5873,389694.3613,388984.6273,180296.8711,2260227.2955,2256110.8383,0
600307.SH,20250818,1.71,0.8981,2.1795,,,1.5006,0.3074,0.3205,626335.7424,626335.7424,258083.7496,1071034.1195,1071034.1195,0
601006.SH,20250818,6.4,0.517,1.0129,14.2645,15.0565,0.7935,1.7278,1.7387,2014717.7716,2014717.7716,1028360.1661,12894193.7382,12894193.7382,0
603828.SH,20250818,4.42,1.0531,2.1164,306.8997,1483.0039,3.4846,1.0709,1.155,59596.0158,59593.9625,29654.2988,263414.3898,263405.3143,0
603955.SH,20250818,40.41,7.8446,13.2474,188.2454,13673.5933,3.5611,47.8245,45.8178,13572.0,13572.0,8036.8213,548444.52,548444.52,0
002763.SZ,20250818,7.11,2.4743,4.8037,36.8701,48.3339,1.4989,0.9866,0.9829,40992.4,30355.795,15635.7,291455.964,215829.7025,0
603711.SH,20250818,13.6,0.7227,3.9061,22.1772,26.8403,1.6603,1.7081,1.7868,41287.41,41287.41,7638.6389,561508.776,561508.776,0
600982.SH,20250818,4.66,1.42,2.8919,18.2765,17.4369,1.236,1.2277,1.2683,111762.7485,111762.7485,54876.7377,520814.408,520814.408,0
300921.SZ,20250818,25.28,9.5223,11.9148,253.8596,227.5434,5.7395,7.7265,8.278,18379.7487,11470.1067,9166.8925,464640.0471,289964.2974,0
838275.BJ,20250818,10.02,3.2952,8.9828,114.258,134.5487,6.9453,22.2614,22.8217,15937.76,13200.069,4842.2553,159696.3552,132264.6914,0
