ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000103.SH,20250815,8408.9035,8342.8936,8442.3785,8327.1009,8367.2587,41.6448,0.4977,8000657.0,36405641.0,2025-08-15 15:09:19
000104.SH,20250815,1330.6894,1315.9736,1331.3172,1315.9736,1316.6912,13.9982,1.0631,4259076.0,2974694.2,2025-08-15 15:09:19
000105.SH,20250815,4577.3163,4428.2976,4577.3163,4428.2976,4440.4651,136.8512,3.0819,17946111.0,27685033.5,2025-08-15 15:09:19
000106.SH,20250815,5149.2846,5034.1623,5149.2846,5034.0981,5048.2863,100.9983,2.0006,28328018.0,52751487.3,2025-08-15 15:09:19
000107.SH,20250815,5459.3291,5334.6974,5469.4221,5334.6974,5337.4753,121.8538,2.283,8664573.0,15431709.5,2025-08-15 15:09:19
000108.SH,20250815,12367.2565,12214.3072,12386.1323,12181.5989,12130.1205,237.136,1.9549,4669694.0,8214836.9,2025-08-15 15:09:19
000109.SH,20250815,11265.3604,11131.2987,11290.686,11101.7089,11139.6422,125.7182,1.1286,5150157.0,13563480.1,2025-08-15 15:09:19
000110.SH,20250815,4467.5283,4356.8788,4490.7268,4351.2323,4371.0316,96.4967,2.2076,22128623.0,22702877.3,2025-08-15 15:09:19
000111.SH,20250815,8747.8999,8547.5304,8760.7967,8547.5304,8576.0535,171.8464,2.0038,8935184.0,32226593.7,2025-08-15 15:09:19
000112.SH,20250815,5146.5232,5094.2525,5156.4323,5082.5175,5098.7059,47.8173,0.9378,3898523.0,10197709.551,2025-08-15 17:53:38
000113.SH,20250815,2707.3303,2657.3442,2711.6456,2657.3442,2664.3332,42.9971,1.6138,10373305.0,5835891.075,2025-08-15 17:53:38
000114.SH,20250815,1164.8362,1146.9433,1167.4477,1146.834,1147.307,17.5292,1.5279,18279845.0,27295255.407,2025-08-15 17:53:38
000115.SH,20250815,8070.6152,7897.4119,8070.6152,7897.4119,7907.2918,163.3234,2.0655,118175631.0,196440518.432,2025-08-15 17:53:38
000117.SH,20250815,3925.1044,3841.3699,3926.5526,3841.3699,3849.0989,76.0055,1.9746,24129275.0,60213074.343,2025-08-15 17:53:38
000118.SH,20250815,9521.8341,9360.552,9525.4104,9360.552,9375.8762,145.9579,1.5567,49976746.0,43493917.18,2025-08-15 17:53:38
000119.SH,20250815,3989.507,3896.5039,3990.0023,3896.5039,3903.3606,86.1464,2.207,76383594.0,164822307.326,2025-08-15 17:53:38
000120.SH,20250815,9016.1708,8839.9417,9019.654,8839.9417,8849.732,166.4388,1.8807,102231064.0,148103150.163,2025-08-15 17:53:38
000121.SH,20250815,8990.2901,8889.9033,9007.3069,8864.5215,8911.3382,78.9519,0.886,8013213.0,29471233.066,2025-08-15 17:53:38
000122.SH,20250815,1587.8743,1568.4871,1587.8743,1568.4871,1569.2965,18.5778,1.1838,5175503.0,4521806.84,2025-08-15 17:53:38
000123.SH,20250815,6327.7541,6211.6151,6357.6685,6199.0831,6240.6031,87.151,1.3965,79895961.0,183384173.353,2025-08-15 17:53:38
000125.SH,20250815,11598.4871,11641.8895,11647.3696,11565.4571,11656.2792,-57.7921,-0.4958,90846990.0,104747556.546,2025-08-15 17:53:38
000126.SH,20250815,8104.4378,8028.6307,8127.013,8015.638,8026.0113,78.4265,0.9772,17412583.0,45819314.703,2025-08-15 17:53:38
000128.SH,20250815,8517.3606,8357.3256,8521.4312,8357.3256,8365.9287,151.4319,1.8101,118175631.0,196440518.432,2025-08-15 17:53:38
000129.SH,20250815,15115.8719,15120.786,15157.6582,15054.5466,15135.0545,-19.1826,-0.1267,118657690.0,123694590.18,2025-08-15 17:53:38
000130.SH,20250815,12952.9071,12784.5512,12956.7194,12784.5512,12790.0396,162.8675,1.2734,35122188.0,31550322.312,2025-08-15 17:53:38
000131.SH,20250815,3637.0846,3535.2656,3637.0846,3533.9288,3546.3439,90.7407,2.5587,8944626.0,52760041.769,2025-08-15 17:53:38
000132.SH,20250815,5558.2363,5451.8716,5562.0606,5450.7334,5464.153,94.0833,1.7218,17842382.0,46564167.734,2025-08-15 17:53:38
000133.SH,20250815,6039.9564,5917.8121,6048.8901,5917.8121,5930.1872,109.7692,1.851,23882298.0,46167892.834,2025-08-15 17:53:38
000134.SH,20250815,1071.1142,1088.5116,1089.4345,1064.4315,1088.3222,-17.208,-1.5811,53494528.0,41785736.114,2025-08-15 17:53:38
000135.SH,20250815,5829.1723,5703.5789,5865.077,5695.1002,5726.1744,102.9979,1.7987,42697950.0,140838462.263,2025-08-15 17:53:38
000136.SH,20250815,11966.6573,11991.2511,12032.0713,11937.5352,12041.148,-74.4907,-0.6186,74767837.0,67074624.658,2025-08-15 17:53:38
000137.SH,20250815,5349.9624,5179.0822,5350.173,5179.0822,5188.3223,161.6401,3.1155,21663636.0,70120833.498,2025-08-15 17:53:38
000138.SH,20250815,7813.817,7720.5644,7815.8288,7720.5644,7726.0775,87.7395,1.1356,29712658.0,32926356.099,2025-08-15 17:53:38
000141.SH,20250815,3593.4944,3498.2528,3594.1645,3498.2528,3501.7801,91.7143,2.6191,61279666.0,124245552.241,2025-08-15 17:53:38
000142.SH,20250815,9173.2005,9027.4101,9176.0909,9027.4101,9043.2571,129.9434,1.4369,55981693.0,69052435.41,2025-08-15 17:53:38
000145.SH,20250815,6267.5678,6113.2104,6294.7772,6113.2104,6141.467,126.1008,2.0533,26937834.0,46161471.863,2025-08-15 17:53:38
000146.SH,20250815,6866.5336,6717.31,6887.6948,6717.31,6727.0142,139.5194,2.074,30288217.0,59260647.748,2025-08-15 17:53:38
000147.SH,20250815,7036.845,6987.9309,7056.8149,6967.1845,6989.6775,47.1675,0.6748,10077342.0,35188670.335,2025-08-15 17:53:38
000148.SH,20250815,9364.8426,9318.8595,9405.2863,9290.3173,9356.4809,8.3617,0.0894,80509083.0,155792865.495,2025-08-15 17:53:38
000149.SH,20250815,4091.5526,4130.4004,4131.258,4077.4457,4131.6268,-40.0742,-0.9699,55542542.0,50110401.904,2025-08-15 17:53:38
000150.SH,20250815,11868.9679,11737.92,11877.9244,11737.9128,11749.6943,119.2736,1.0151,9525431.0,6584016.614,2025-08-15 17:53:38
000151.SH,20250815,1562.0895,1562.916,1565.1312,1554.7434,1563.7668,-1.6773,-0.1073,37153230.0,28052627.879,2025-08-15 17:53:38
000152.SH,20250815,2847.1458,2860.9367,2861.1924,2834.7686,2856.4033,-9.2575,-0.3241,51981146.0,41279220.935,2025-08-15 17:53:38
000153.SH,20250815,3099.6029,3076.6952,3100.6778,3073.1581,3077.5388,22.0641,0.7169,5567654.0,4710850.759,2025-08-15 17:53:38
000155.SH,20250815,3070.6389,3054.1423,3084.169,3046.4669,3063.0634,7.5755,0.2473,125827465.0,239913748.197,2025-08-15 17:53:38
000158.SH,20250815,1193.1191,1157.9763,1193.4947,1157.9763,1158.8364,34.2827,2.9584,19068416.0,29267511.279,2025-08-15 17:53:38
000159.SH,20250815,3404.5815,3361.4615,3412.4608,3360.8523,3369.1582,35.4233,1.0514,574853745.0,822194450.719,2025-08-15 17:53:38
