ts_code,trade_date,trade_count,buy_elg_amount,buy_elg_vol,sell_elg_amount,sell_elg_vol,buy_lg_amount,buy_lg_vol,sell_lg_amount,sell_lg_vol,buy_md_amount,buy_md_vol,sell_md_amount,sell_md_vol,buy_sm_amount,buy_sm_vol,sell_sm_amount,sell_sm_vol,net_mf_amount,net_mf_vol
603011.SH,20250820,40761.0,710.56,4486.0,887.41,5614.0,3621.04,22902.55,4939.31,31239.71,15060.54,95267.26,14913.43,94293.16,24946.37,157768.35,23598.37,149277.29,-8454.36,-53662.68
002825.SZ,20250820,14651.0,133.11,1251.0,458.9,4316.0,1700.9,16006.75,1432.46,13481.72,3120.37,29384.22,2735.26,25747.48,3491.96,32865.99,3819.72,35962.76,-102.76,-1043.22
600338.SH,20250820,42621.0,2615.05,21400.76,3128.89,25608.0,12408.98,101796.71,11797.96,96802.23,22556.25,185104.92,21439.12,175916.26,24895.75,204360.9,26110.06,214336.8,1773.78,14394.51
603239.SH,20250820,9760.0,0.0,0.0,212.3,1289.0,899.21,5467.0,1121.48,6826.0,2186.33,13303.0,2309.27,14048.0,4701.72,28606.0,4144.22,25213.0,535.11,3242.0
300348.SZ,20250820,61685.0,6143.95,36261.0,12704.5,75036.65,19190.86,113345.31,29569.66,174779.71,32342.22,190989.9,31918.5,188401.08,37084.31,218948.47,20568.68,121327.24,-12840.18,-76376.14
601069.SH,20250820,14039.0,578.69,3051.88,1400.98,7395.88,3371.99,17771.78,3007.41,15843.0,6454.27,33995.49,6357.64,33477.94,9281.73,48884.86,8920.64,46987.19,1655.44,8669.71
300301.SZ,20250820,2790.0,0.0,0.0,0.0,0.0,1757.94,73748.0,1252.41,52352.0,1791.0,74901.02,2309.87,96841.02,1063.26,44480.02,1049.92,43936.02,1117.02,46636.96
300829.SZ,20250820,11471.0,242.05,1266.0,721.46,3775.0,3477.78,18135.04,3993.1,20847.92,4732.79,24692.73,6121.42,31928.1,5970.0,31164.33,3586.65,18707.08,-1532.01,-7998.58
600367.SH,20250820,37234.0,694.13,4244.0,1083.02,6667.0,6952.7,42495.21,6623.77,40493.62,15898.65,97257.9,15107.62,92383.56,19346.35,118277.59,20077.42,122730.52,-1258.37,-7809.84
300618.SZ,20250820,32967.0,7893.1,20304.0,2927.46,7550.18,19726.93,50706.79,19705.15,50656.2,22997.91,59145.81,24183.96,62209.82,17236.8,44351.0,21038.17,54091.4,-854.97,-2289.88
002998.SZ,20250820,10184.0,100.05,1184.0,0.0,0.0,557.44,6583.0,974.38,11526.0,1523.41,18005.0,2107.68,24900.0,2977.69,35177.84,2076.53,24523.84,-184.3,-2200.16
603382.SH,20250820,10534.0,187.14,571.0,280.27,862.0,2481.0,7594.03,2902.47,8882.89,6025.72,18437.55,5604.27,17144.79,7894.87,24147.71,7801.72,23860.61,1562.12,4792.11
300008.SZ,20250820,85960.0,10707.11,142596.0,18119.55,242006.0,27474.69,366537.0,27075.57,361646.55,37842.74,505048.37,41476.58,553157.97,40243.68,537563.0,29596.53,394933.85,-17282.88,-231487.37
603998.SH,20250820,84079.0,43844.0,347627.12,15814.76,125424.82,25670.48,207856.86,31888.95,256339.63,33689.76,274639.86,43649.38,353647.66,35829.33,293541.68,47680.48,388253.41,-38260.29,-303066.52
301272.SZ,20250820,3014.0,0.0,0.0,82.0,200.0,657.96,1607.08,714.41,1744.38,1444.3,3526.38,1289.46,3150.0,1547.13,3779.0,1563.53,3818.08,90.69,216.3
002792.SZ,20250820,80873.0,65642.53,342582.43,22804.98,119564.04,33497.66,177688.57,42702.95,225393.55,35474.72,189159.96,50900.87,269178.14,26820.89,143289.42,45026.99,238584.65,-42713.19,-221234.98
600281.SH,20250820,39832.0,489.66,6654.86,287.65,4036.0,4220.84,58460.3,5501.57,75925.01,12364.81,170952.09,12133.29,167695.08,23299.26,322305.4,22452.06,310716.56,-919.11,-13050.97
688403.SH,20250820,37009.0,1900.06,13356.09,739.97,5236.95,9688.42,68363.56,12073.96,85260.99,14810.37,104601.3,14761.27,104103.37,20369.33,143702.6,19192.97,135422.24,-4459.1,-31636.27
603022.SH,20250820,32086.0,366.78,3359.0,678.29,6285.0,4892.42,45145.0,4212.65,38931.31,12676.6,116862.31,12084.17,111547.31,16418.97,151217.38,17379.67,159820.07,3699.21,34380.45
001373.SZ,20250820,4951.0,0.0,0.0,0.0,0.0,362.7,1100.0,504.77,1529.0,1009.44,3056.0,1232.88,3733.0,2560.87,7757.0,2195.36,6651.0,55.93,159.0
688008.SH,20250820,81185.0,34332.34,37942.18,30543.47,33861.32,103792.89,114583.6,106164.36,117250.22,153338.06,169830.45,165233.99,182914.0,85847.82,95209.51,75369.29,83540.2,20672.93,22215.88
000426.SZ,20250820,44171.0,13254.23,66839.0,17765.09,89901.0,25152.22,126856.0,28844.13,145687.0,28598.02,144332.42,26108.63,131495.0,20893.48,105461.0,15180.1,76405.42,-4818.11,-24338.74
300632.SZ,20250820,12982.0,253.17,1768.0,355.9,2489.0,2999.59,20937.0,2971.47,20760.11,5716.03,39959.2,5313.47,37157.0,4387.28,30702.71,4715.24,32960.8,-141.21,-1019.49
688599.SH,20250820,35162.0,1236.18,7576.51,1512.44,9281.48,9383.82,57643.34,7878.15,48358.0,19121.94,117542.24,19640.06,120725.91,22202.03,136689.27,22913.33,141085.97,58.3,52.86
000989.SZ,20250820,49091.0,989.22,8323.38,2697.15,22818.0,11448.37,96656.7,12309.2,103930.0,15241.74,128749.0,15272.9,128994.08,18097.87,152895.14,15497.94,130882.14,-6646.94,-56463.66
300259.SZ,20250820,9473.0,225.08,5846.2,231.6,6000.0,954.63,24854.0,817.71,21336.0,1465.19,38197.0,1832.83,47780.0,2320.88,60522.2,2083.62,54303.4,481.66,12351.4
