TS_CODE,TRADE_DATE,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOL,AMOUNT,CHANGE,PCT_CHANGE
801813.SI,20250815,4957.33,4969.02,5148.06,4969.01,5148.06,135705240000.0,2150482670000.0,190.73,0.038474
801821.SI,20250815,1158.93,1158.12,1214.51,1158.12,1214.36,34265480000.0,857142410000.0,55.43,0.047829
801822.SI,20250815,3870.31,3877.26,4119.59,3877.26,4111.33,37773510000.0,727712190000.0,241.02,0.062274
801823.SI,20250815,7208.61,7216.49,7260.74,7149.42,7209.77,64238020000.0,688838360000.0,1.16,0.000161
801831.SI,20250815,1723.14,1722.74,1836.53,1722.74,1834.03,26431830000.0,1304741190000.0,110.89,0.064353
801832.SI,20250815,4092.93,4106.52,4209.6,4106.52,4209.6,32963030000.0,545245700000.0,116.67,0.028505
801833.SI,20250815,7588.77,7597.09,7615.73,7469.7,7513.52,77414920000.0,494903060000.0,-75.25,-0.009916
801841.SI,20250815,3243.82,3244.74,3427.15,3244.74,3416.7,12793160000.0,1407893620000.0,172.88,0.053295
801842.SI,20250815,4082.95,4084.94,4199.89,4084.94,4199.89,33192660000.0,602227400000.0,116.94,0.028641
801843.SI,20250815,14286.27,14307.97,14464.17,14179.2,14352.43,103688190000.0,315701040000.0,66.16,0.004631
801851.SI,20250815,3591.81,3600.17,3730.54,3600.17,3729.5,205757620000.0,2326566640000.0,137.69,0.038334
801852.SI,20250815,2428.35,2439.13,2492.5,2439.13,2492.05,16919030000.0,184077010000.0,63.7,0.026232
801853.SI,20250815,4607.54,4607.99,4812.34,4607.68,4788.11,8081590000.0,532286720000.0,180.57,0.03919
801863.SI,20250815,2401.47,2402.6,2467.7,2398.66,2467.7,2580580000.0,93057240000.0,66.23,0.027579
000908.SH,20250815,2213.7728,2215.7396,2228.2931,2181.9485,2186.8598,2567610218.0,28127222784.0,-26.913,-0.012157
000909.SH,20250815,2859.2087,2884.2613,2943.4618,2844.4073,2925.5924,16876132755.0,226032502277.0,66.3837,0.023218
000910.SH,20250815,2186.8734,2192.7415,2228.1238,2173.6258,2221.3495,20628221982.0,332982014848.0,34.4761,0.015765
000911.SH,20250815,6196.2741,6193.0284,6332.8124,6180.7105,6309.2537,3050966594.0,119625451242.0,112.9796,0.018233
000912.SH,20250815,21535.8902,21566.5915,22077.4786,21505.4725,21604.1227,1351996298.0,103505492790.0,68.2325,0.003168
000913.SH,20250815,8810.0888,8813.3942,9188.977,8802.5144,9058.1176,2910518900.0,126332957420.2,248.0288,0.028153
000914.SH,20250815,6786.8924,6785.8664,6876.6868,6741.9748,6835.3426,35518029100.0,471515575862.6,48.4502,0.007139
000915.SH,20250815,2496.8102,2496.9084,2691.922,2496.9084,2685.4574,14188681151.0,565444548228.0,188.6472,0.075555
